image id,true label,confidence,prediction
4606,0,0.961047,"[0.961047, 5.390529e-06, 5.0276147e-05, 0.00011970588, 0.0010778494, 3.698443e-09, 4.1723083e-06, 1.2645347e-07, 0.027711216, 0.009984166]"
3488,1,0.9744907,"[4.3886732e-08, 0.9744907, 8.732437e-18, 1.1888425e-18, 3.158078e-23, 8.3058834e-20, 6.2285795e-14, 1.8400787e-19, 3.1138818e-08, 0.0255093]"
3573,2,1.0,"[4.2901487e-08, 5.1596716e-15, 1.0, 3.0240903e-13, 2.833224e-13, 5.3498313e-11, 2.9786534e-10, 7.7602136e-14, 1.7604988e-12, 9.637987e-16]"
106,3,0.99999845,"[2.2076724e-12, 6.4176144e-13, 2.0410735e-09, 0.99999845, 1.01248e-17, 3.88507e-09, 2.4255953e-10, 5.037762e-13, 1.5753741e-06, 4.4361627e-16]"
6005,4,0.99999833,"[2.0608752e-09, 2.05847e-17, 4.4505642e-11, 1.8061123e-16, 0.99999833, 1.2596896e-12, 1.8272769e-16, 1.7269755e-06, 6.205975e-18, 6.4743404e-13]"
207,5,1.0,"[1.2643122e-21, 7.566358e-23, 1.5653377e-14, 7.8712183e-16, 4.6760525e-14, 1.0, 6.9366903e-15, 1.1831969e-16, 1.2888834e-23, 2.6798887e-22]"
1489,6,0.9999999,"[3.742906e-15, 3.3313135e-12, 7.6757246e-08, 7.550762e-11, 3.9560938e-08, 2.9362346e-10, 0.9999999, 8.4192934e-14, 2.2348387e-14, 1.9931519e-13]"
2686,7,1.0,"[6.796998e-15, 3.2865845e-17, 1.830999e-16, 6.493408e-17, 5.289953e-08, 4.992018e-10, 2.1592542e-17, 1.0, 9.953786e-18, 6.8977927e-16]"
8470,8,0.86677164,"[6.449886e-07, 1.9762348e-07, 9.410579e-17, 2.7354426e-11, 1.4217527e-13, 1.322943e-18, 4.1417214e-14, 2.2163612e-15, 0.86677164, 0.13322754]"
8453,9,1.0,"[1.0609798e-22, 3.144236e-11, 3.4295373e-38, 6.4550845e-30, 6.7496e-41, 1.11093965e-36, 1.970377e-33, 1.0630649e-32, 8.749877e-17, 1.0]"
7742,0,0.9999999,"[0.9999999, 1.7083745e-13, 1.9837234e-13, 1.3937622e-18, 8.7915e-09, 1.9048241e-23, 1.6214768e-15, 6.4484933e-21, 6.0914154e-08, 4.202231e-15]"
947,1,1.0,"[1.9036423e-21, 1.0, 2.7475508e-26, 1.1519064e-30, 9.628054e-33, 1.5118524e-34, 1.6125823e-22, 2.7503478e-28, 7.719332e-15, 6.5754836e-12]"
5533,2,0.8842169,"[0.1157831, 9.128141e-16, 0.8842169, 9.915952e-16, 3.716997e-10, 3.472965e-14, 3.7700617e-14, 5.7386066e-12, 5.6035875e-12, 6.5946035e-14]"
9109,3,0.969469,"[1.5533675e-07, 7.141982e-09, 0.0024309272, 0.969469, 6.107871e-05, 0.01680922, 2.9160814e-08, 0.011229484, 1.04238445e-07, 2.3133225e-08]"
7506,4,0.99999976,"[2.7317282e-18, 1.1272832e-25, 2.4737213e-07, 1.6689549e-18, 0.99999976, 6.434843e-17, 4.6365268e-23, 3.0584805e-14, 1.5922938e-22, 5.8527066e-27]"
4087,5,1.0,"[8.598681e-20, 4.1614398e-23, 2.573117e-15, 5.979314e-10, 4.4483557e-15, 1.0, 2.719961e-16, 1.9283872e-13, 1.3961495e-21, 1.3933578e-19]"
8570,6,0.99861753,"[1.323117e-06, 0.00084075384, 3.526741e-06, 1.3512768e-07, 9.309456e-06, 1.2709697e-05, 0.99861753, 6.983457e-07, 7.237068e-07, 0.00051328907]"
8767,7,0.99999666,"[6.568501e-13, 2.6739652e-16, 1.8935497e-11, 1.2059441e-10, 7.3662864e-07, 2.6409464e-06, 6.090299e-17, 0.99999666, 1.4308173e-16, 9.249238e-15]"
4389,8,1.0,"[3.541506e-17, 2.0856858e-19, 6.3011275e-23, 2.464796e-19, 7.53562e-24, 7.6979987e-26, 1.0826181e-18, 2.2173239e-26, 1.0, 1.3219587e-21]"
4449,9,0.9980451,"[0.0019204724, 3.3492353e-05, 4.7191483e-11, 3.43141e-08, 9.4338565e-11, 1.0834195e-11, 2.739076e-10, 9.75405e-09, 8.8087154e-07, 0.9980451]"
3338,0,0.99999857,"[0.99999857, 1.9127575e-09, 7.853963e-08, 6.115857e-11, 2.0812099e-10, 1.6443867e-13, 9.566541e-13, 2.2865326e-11, 1.3407172e-06, 3.2286007e-08]"
2712,1,0.99670666,"[3.4837908e-06, 0.99670666, 3.1633785e-08, 2.8586372e-12, 1.4610219e-15, 9.598101e-11, 3.8686603e-11, 1.7343456e-10, 0.003282485, 7.5152275e-06]"
1257,2,0.99999964,"[1.6934568e-10, 2.2319149e-15, 0.99999964, 2.502331e-11, 6.056231e-08, 2.4227404e-14, 3.100777e-07, 1.1718144e-16, 7.5168006e-12, 1.3309925e-18]"
2617,3,0.5515875,"[0.00070114847, 2.1017026e-06, 5.7092234e-06, 0.5515875, 4.0134004e-05, 0.34864777, 0.02631277, 4.3827506e-05, 4.937099e-07, 0.07265852]"
1049,4,0.9490987,"[2.3173764e-06, 2.2317328e-05, 7.643404e-09, 2.508148e-10, 0.9490987, 1.2367133e-06, 3.0823896e-12, 0.050872497, 5.6490815e-11, 2.8000172e-06]"
8776,5,0.9859138,"[6.211188e-14, 9.67546e-15, 0.012736849, 0.0013485607, 2.644545e-10, 0.9859138, 6.644759e-10, 8.0222344e-07, 8.1139664e-14, 1.175985e-15]"
1140,6,1.0,"[6.118588e-25, 6.5743213e-22, 4.945546e-16, 1.6200796e-15, 1.2092963e-19, 3.7250676e-14, 1.0, 6.0216467e-22, 1.5384779e-23, 1.3055704e-22]"
9723,7,1.0,"[1.2033861e-21, 2.8307152e-26, 7.8031814e-29, 2.8172887e-21, 2.13182e-17, 4.720266e-14, 8.20791e-31, 1.0, 7.71842e-30, 3.4217213e-24]"
6798,8,1.0,"[6.592624e-16, 3.0870965e-16, 7.8967777e-17, 2.4018003e-19, 4.375866e-23, 3.055e-22, 5.4832752e-14, 5.2946115e-25, 1.0, 1.8174923e-23]"
3169,9,0.9827489,"[3.9604376e-05, 2.153696e-07, 1.868338e-10, 2.2151017e-08, 8.798538e-09, 1.2025801e-13, 2.2346786e-11, 3.1715e-11, 0.017211236, 0.9827489]"
763,0,0.9999969,"[0.9999969, 1.500585e-13, 8.793233e-13, 7.364564e-19, 3.144285e-06, 2.2644144e-20, 3.0870585e-19, 1.259312e-10, 1.4923583e-10, 2.697938e-11]"
1176,1,1.0,"[4.670261e-28, 1.0, 1.1038e-40, 2.86e-43, 0.0, 0.0, 1.235732e-35, 1.1e-44, 5.433925e-29, 1.7670826e-12]"
3781,2,0.99254614,"[1.0500493e-10, 1.6175758e-16, 0.99254614, 1.9862774e-09, 1.9822627e-08, 0.007423646, 3.0210696e-05, 6.940379e-10, 5.0040514e-14, 1.0470272e-14]"
5701,3,0.9456168,"[2.9127202e-12, 3.6301643e-15, 4.016193e-12, 0.9456168, 2.1510319e-14, 0.05438323, 2.8989904e-09, 7.19566e-15, 4.775835e-13, 1.6936853e-15]"
8989,4,0.99998057,"[1.7512326e-18, 1.808815e-19, 2.9216096e-13, 2.0549584e-09, 0.99998057, 7.2052376e-06, 2.729835e-12, 1.2313168e-05, 5.202352e-18, 1.256675e-15]"
8301,5,0.9949957,"[1.1061748e-11, 1.4365081e-10, 0.0047650486, 3.7284306e-05, 6.157963e-05, 0.9949957, 1.6641949e-06, 0.0001388261, 1.0394086e-11, 8.3901754e-11]"
292,6,1.0,"[7.997463e-15, 6.694451e-16, 4.6039748e-08, 2.5305964e-12, 2.9412413e-13, 2.4327318e-12, 1.0, 8.0706937e-19, 3.2454224e-16, 1.0458749e-14]"
8052,7,1.0,"[5.888654e-11, 8.580377e-17, 1.9346739e-15, 7.863981e-17, 7.921285e-11, 2.4680094e-15, 1.0322678e-21, 1.0, 1.8103687e-19, 5.931611e-16]"
7833,8,0.99122334,"[0.008776686, 7.461337e-09, 4.1948666e-14, 2.2390287e-15, 3.6479102e-17, 1.3217841e-19, 4.0408312e-15, 1.0089569e-19, 0.99122334, 1.0751818e-10]"
752,9,0.99998355,"[7.5425985e-09, 1.6487465e-05, 3.1443098e-15, 3.9785956e-11, 4.6146893e-18, 5.7390283e-16, 2.126794e-13, 9.841326e-13, 6.5992917e-10, 0.99998355]"
1903,0,0.99999845,"[0.99999845, 3.689284e-10, 6.965092e-11, 1.2639286e-11, 1.2402016e-06, 1.1911846e-15, 2.6516877e-13, 4.2588635e-10, 2.9933858e-08, 4.1348315e-07]"
7937,1,1.0,"[1.0841821e-15, 1.0, 3.8988854e-23, 4.6638004e-27, 2.0697707e-34, 3.8506272e-30, 5.9898135e-26, 2.3466033e-25, 3.4048421e-19, 8.129908e-13]"
8480,2,0.92262137,"[2.9504656e-06, 4.9813867e-08, 0.92262137, 0.025559662, 0.034982406, 3.6191166e-05, 0.016291967, 2.9595792e-06, 0.000501489, 1.0063067e-06]"
7905,3,0.9021193,"[1.2595059e-09, 6.3396985e-09, 0.00039588037, 0.9021193, 6.6756285e-05, 0.09568678, 0.00021479452, 0.0015161909, 1.1926748e-08, 3.324733e-07]"
6988,4,0.9988531,"[1.5205717e-09, 4.514705e-12, 0.0010734646, 1.0090861e-08, 0.9988531, 1.5091791e-05, 3.575776e-07, 5.7984205e-05, 2.7062302e-11, 2.5734365e-12]"
5468,5,0.8907728,"[1.85178e-08, 1.8385297e-08, 2.880608e-09, 0.10921593, 1.0359942e-08, 0.8907728, 2.0999201e-07, 1.105866e-05, 4.244055e-09, 1.2628019e-08]"
9328,6,0.9999994,"[5.2246976e-13, 2.4034874e-10, 6.485924e-07, 1.2896676e-11, 4.998532e-10, 4.2908393e-13, 0.9999994, 6.9337135e-14, 4.9942297e-08, 1.33124e-12]"
7227,7,0.5057702,"[0.00214902, 0.00011929781, 0.00029213083, 0.11536755, 0.3055788, 0.00058143167, 1.0240512e-06, 0.5057702, 1.44811365e-05, 0.070126005]"
1044,8,0.9999999,"[1.7693498e-07, 2.0183118e-10, 4.4915856e-13, 2.2759708e-15, 1.2381658e-10, 1.1995472e-18, 2.8495865e-12, 4.00533e-16, 0.9999999, 1.4175613e-11]"
5974,9,0.99999964,"[8.442184e-12, 3.16779e-07, 2.149823e-20, 7.3811055e-16, 1.6650722e-22, 3.0765206e-20, 2.304117e-22, 2.0479863e-16, 1.73501e-12, 0.99999964]"
8812,0,1.0,"[1.0, 3.4727093e-13, 5.632272e-13, 2.1096847e-18, 1.3905654e-18, 2.185653e-21, 7.075511e-20, 5.121579e-19, 1.9193575e-12, 1.8341816e-14]"
3485,1,1.0,"[2.575273e-18, 1.0, 3.281326e-30, 1.5017519e-28, 1.2562404e-36, 8.162173e-37, 6.5744067e-34, 2.1872478e-34, 5.099034e-15, 6.726401e-15]"
1623,2,0.8578926,"[0.00012761938, 2.721847e-07, 0.8578926, 4.6534922e-05, 0.13837506, 1.394995e-05, 0.0033649006, 7.764124e-06, 9.603323e-05, 7.523823e-05]"
6990,3,0.80074984,"[2.0826296e-06, 8.281568e-11, 1.4987711e-07, 0.80074984, 1.0365283e-07, 0.19923346, 5.430346e-07, 1.3688152e-05, 2.4523894e-09, 1.0069993e-07]"
2990,4,0.9811978,"[6.1670437e-07, 8.523816e-09, 2.0567824e-05, 6.039702e-06, 0.9811978, 0.00057784264, 5.287786e-05, 0.018144274, 3.5384777e-09, 2.6588665e-08]"
3420,5,0.8862702,"[1.4756722e-05, 3.4377401e-06, 1.2024586e-05, 0.09946043, 0.005881858, 0.8862702, 0.00021784361, 0.00812151, 3.7889074e-06, 1.4055792e-05]"
7687,6,0.9991235,"[9.834556e-08, 3.8677475e-09, 3.003531e-05, 0.00019943297, 0.00064467976, 2.159008e-06, 0.9991235, 1.0038529e-08, 9.902897e-09, 7.145784e-08]"
1560,7,1.0,"[4.2121407e-19, 3.45239e-23, 1.2450003e-14, 2.3694658e-20, 2.4833044e-18, 1.0148015e-10, 1.326579e-24, 1.0, 2.2629337e-22, 8.803875e-26]"
2980,8,1.0,"[2.1534486e-23, 2.1531775e-23, 3.1202067e-34, 9.597702e-31, 1.3753935e-32, 1.500447e-35, 3.9787978e-26, 7.638458e-37, 1.0, 1.1737709e-29]"
6059,9,1.0,"[1.6970204e-29, 1.3186118e-25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.66205e-40, 1.0]"
4187,0,0.99435586,"[0.99435586, 7.874699e-11, 0.0042315656, 8.799259e-09, 0.0014107617, 1.6218235e-09, 1.0741567e-06, 4.968853e-10, 5.448152e-07, 1.3626934e-10]"
81,1,0.9977387,"[8.585738e-08, 0.9977387, 1.1287675e-15, 1.1777472e-14, 2.0926225e-20, 7.237341e-15, 2.3588814e-14, 8.626208e-14, 0.00068889087, 0.0015722348]"
7771,2,0.5393297,"[4.209796e-05, 2.7666763e-07, 0.5393297, 0.026474176, 3.843126e-08, 9.467777e-05, 0.43396035, 5.1914448e-08, 4.148835e-05, 5.714292e-05]"
8337,3,0.9998965,"[1.1580082e-11, 5.587775e-10, 1.0935038e-08, 0.9998965, 5.474587e-07, 4.1739875e-07, 4.362307e-11, 0.000102474514, 3.3190942e-10, 7.9081974e-10]"
4783,4,0.9947714,"[2.456771e-07, 9.176103e-09, 0.00026321877, 5.123801e-08, 0.9947714, 8.608691e-05, 1.3531726e-10, 0.004878742, 2.2260692e-10, 2.0666354e-07]"
101,5,0.9971614,"[6.9255e-08, 9.458993e-09, 4.1765734e-06, 0.0024958733, 1.8368212e-07, 0.9971614, 0.00028810755, 4.9756625e-05, 3.778927e-08, 4.735519e-07]"
6471,6,1.0,"[4.4719616e-27, 1.7140806e-20, 2.6390466e-21, 1.1455273e-21, 4.5985034e-21, 5.0835296e-25, 1.0, 1.889172e-23, 1.9284478e-30, 4.7884824e-19]"
1770,7,0.999998,"[3.8364125e-15, 3.4342916e-18, 2.6351642e-13, 1.236963e-16, 2.0313157e-06, 2.0674176e-09, 1.4135379e-19, 0.999998, 4.1643874e-22, 2.1545013e-18]"
7468,8,1.0,"[5.510779e-17, 6.825987e-25, 1.0887318e-24, 1.06504904e-26, 1.67274e-27, 1.27793e-33, 4.120945e-26, 1.2735722e-29, 1.0, 9.7570684e-23]"
3253,9,0.99980897,"[1.1060074e-05, 2.0005884e-05, 1.1855456e-09, 8.4732346e-07, 3.0173026e-09, 1.4273438e-08, 2.494769e-10, 1.251291e-08, 0.00015910986, 0.99980897]"
944,0,1.0,"[1.0, 6.2049743e-16, 1.1796056e-15, 6.659317e-19, 2.4471048e-14, 1.4485226e-23, 3.978305e-22, 1.3579992e-20, 4.703034e-12, 1.6269641e-14]"
9,1,0.9090435,"[4.4363187e-05, 0.9090435, 1.7089253e-12, 1.0611087e-11, 1.4631021e-12, 8.811395e-15, 1.8061111e-12, 2.6435822e-15, 0.005791654, 0.08512056]"
2070,2,1.0,"[1.2070975e-12, 6.0851616e-18, 1.0, 2.0662675e-12, 2.0189221e-12, 2.4755753e-12, 7.736973e-12, 1.4384814e-12, 1.4449868e-13, 3.6817088e-19]"
7352,3,0.99989724,"[1.0891198e-14, 5.982903e-16, 7.413538e-11, 0.99989724, 1.0939159e-15, 0.00010270255, 8.360481e-12, 2.1415123e-09, 6.904398e-17, 1.453155e-16]"
2550,4,0.9720767,"[5.424331e-08, 4.6934005e-08, 0.0026529238, 2.8421803e-06, 0.9720767, 0.00016451742, 0.024951296, 0.00015027543, 1.0370542e-06, 2.2615504e-07]"
6014,5,0.51090324,"[0.0022931632, 0.0012207625, 1.5747653e-05, 0.29272398, 0.00210642, 0.51090324, 0.018147014, 0.010824179, 0.00023394544, 0.16153155]"
4519,6,0.9977278,"[2.575022e-05, 5.422919e-08, 4.1586894e-08, 2.4936355e-06, 3.6342332e-08, 4.1305048e-13, 0.9977278, 1.5713919e-12, 0.0022424834, 1.3686177e-06]"
5009,7,0.99993694,"[2.7484583e-14, 9.9707206e-17, 5.9739596e-05, 4.305179e-13, 3.0502326e-06, 2.7871428e-07, 6.733296e-14, 0.99993694, 7.9243856e-14, 2.4280655e-14]"
1349,8,1.0,"[1.3567624e-19, 3.8970995e-24, 3.1024944e-29, 1.0340549e-25, 8.066999e-27, 5.5793094e-33, 1.4260454e-28, 1.8220126e-29, 1.0, 2.4529387e-20]"
8670,9,0.9983658,"[8.285224e-05, 4.2956394e-06, 2.6326606e-07, 9.483432e-05, 0.00010277787, 9.406226e-08, 2.774542e-06, 3.1811817e-07, 0.0013460249, 0.9983658]"
7126,0,0.9909533,"[0.9909533, 5.3744398e-06, 2.74087e-06, 4.896427e-07, 2.5750621e-08, 1.1804098e-06, 1.1530578e-06, 1.6193513e-06, 0.00023575718, 0.008798403]"
9916,1,1.0,"[1.0176488e-21, 1.0, 6.150195e-35, 5.9602837e-30, 3.22e-43, 6.119578e-37, 4.8456605e-29, 4.077339e-31, 3.1092273e-27, 1.6239282e-15]"
8967,2,0.9984004,"[1.7086077e-10, 5.1393573e-11, 0.9984004, 9.086346e-08, 3.977407e-07, 0.0015904041, 3.107598e-10, 8.699499e-06, 4.8220477e-13, 3.90046e-12]"
4933,3,0.99998856,"[9.149112e-16, 4.8320277e-18, 1.1845073e-11, 0.99998856, 6.0351604e-06, 5.2711644e-06, 3.638929e-14, 1.441531e-07, 4.096392e-15, 8.4182745e-16]"
6051,4,0.72343147,"[3.6841006e-06, 1.9451894e-08, 2.6586777e-06, 7.198142e-05, 0.72343147, 0.017816272, 1.6222137e-07, 0.25867364, 5.0990728e-08, 5.858941e-08]"
4552,5,0.96088105,"[3.6137456e-12, 1.2207993e-11, 2.1539031e-11, 0.039118778, 4.4358975e-11, 0.96088105, 6.7833774e-08, 2.6515226e-09, 1.8887043e-13, 4.0842496e-11]"
5595,6,0.99916685,"[2.9099652e-09, 2.2926398e-12, 0.000833166, 6.9003434e-09, 3.170845e-10, 7.338595e-14, 0.99916685, 9.397545e-14, 6.6073445e-11, 2.1023452e-11]"
8319,7,0.9999919,"[3.8691823e-09, 6.1935526e-11, 5.0578534e-12, 2.995878e-09, 3.943395e-06, 4.1343214e-06, 1.3366525e-15, 0.9999919, 5.7029414e-14, 3.1009253e-10]"
8329,8,0.9999318,"[6.8230795e-05, 7.714458e-13, 7.216815e-16, 3.3290082e-17, 2.7026247e-18, 6.6784404e-22, 7.1050057e-17, 2.856564e-20, 0.9999318, 1.4143814e-10]"
5958,9,0.99999964,"[2.0164903e-11, 6.4685945e-10, 7.693342e-15, 2.0900342e-11, 6.2365363e-15, 1.07020756e-13, 1.9979441e-16, 1.5707111e-11, 3.1281562e-07, 0.99999964]"
4037,0,1.0,"[1.0, 7.2178536e-17, 1.3486415e-10, 2.6256251e-18, 1.740725e-16, 6.588402e-23, 3.807379e-22, 9.641047e-22, 2.7417464e-14, 2.7243256e-21]"
1185,1,0.9884177,"[1.5402185e-05, 0.9884177, 1.3168895e-15, 2.5873498e-15, 1.5528764e-16, 6.65015e-20, 2.158852e-16, 7.4701953e-16, 0.0048112078, 0.0067556812]"
9366,2,0.97898257,"[0.0010069152, 5.1342943e-09, 0.97898257, 1.4214615e-07, 4.2695324e-06, 3.24397e-05, 2.5716805e-08, 3.0888082e-06, 0.00625461, 0.013715944]"
2612,3,0.94576967,"[0.010216499, 1.6636458e-06, 0.0021754112, 0.94576967, 0.00026348734, 0.032314908, 0.00013862406, 0.009041205, 6.437016e-05, 1.4152983e-05]"
4344,4,1.0,"[3.1198172e-17, 2.094298e-25, 2.482269e-13, 4.55629e-25, 1.0, 1.6538643e-19, 2.8741181e-19, 1.1938026e-14, 2.5976426e-24, 5.3230036e-25]"
8289,5,0.9704277,"[2.4905168e-15, 1.6280976e-20, 1.574284e-13, 1.0319555e-11, 8.1594356e-13, 0.9704277, 3.5109123e-19, 0.029572263, 5.4449714e-18, 8.4756777e-19]"
6658,6,0.99438137,"[5.936395e-13, 6.0429217e-10, 3.8937606e-10, 0.0056027905, 1.22337375e-11, 1.5915773e-05, 0.99438137, 2.6942639e-11, 5.136591e-13, 1.7179708e-10]"
7355,7,1.0,"[8.2965883e-23, 3.5460393e-22, 1.7026223e-22, 8.1193366e-25, 7.147924e-18, 3.8969944e-17, 3.3556494e-27, 1.0, 2.3636989e-26, 4.9042935e-22]"
9784,8,1.0,"[3.820472e-15, 1.3983779e-28, 9.3251435e-25, 2.5666564e-30, 1.808902e-30, 4.5156348e-37, 7.3895386e-29, 3.8742696e-33, 1.0, 3.3310794e-23]"
8332,9,1.0,"[1.91695e-12, 1.411236e-10, 4.5596472e-17, 3.801514e-12, 1.889113e-17, 3.7202245e-18, 1.4844117e-17, 7.192269e-16, 1.1359509e-11, 1.0]"
6808,0,0.9999231,"[0.9999231, 3.4779893e-10, 1.2720523e-13, 4.106524e-17, 1.15398236e-14, 6.781618e-20, 7.850563e-21, 5.328998e-16, 7.683159e-05, 1.0159482e-08]"
4278,1,1.0,"[5.0829557e-37, 1.0, 0.0, 0.0, 0.0, 0.0, 1e-45, 0.0, 1.4202863e-34, 3.6860312e-22]"
2691,2,0.99999535,"[2.0554553e-13, 5.4893347e-16, 0.99999535, 1.6462999e-06, 2.9195405e-06, 2.4757302e-11, 4.929232e-08, 2.3225904e-11, 2.10394e-15, 1.4462249e-15]"
456,3,0.92403907,"[5.601428e-12, 5.812722e-12, 6.9432484e-05, 0.92403907, 0.072339825, 4.1730545e-06, 0.00354756, 9.1473046e-10, 1.1534012e-11, 2.390013e-12]"
